PID,Att (Variation),SKU,ASIN (To Populate),Link to Amazon,Amazon Title,Country of Origin,# Product Reviews,Avg Star Rating,Seasonality,Category,Subcategory,Category>Subcategory,Amazon Ranking (within Category) - not available (Project participants can fill in manually),Sales Rating (internal - nonAmazon),Sale Price,Inv Qty End of Period (Jul 30 - Aug 5),Traffic Jul 30 - Aug 5,Conversion Rate Jul 30 - Aug 5,Order Qty Rate Jul 30 - Aug 5,Quantity Aug 19 - Aug 26,Traffic Aug 19 - Aug 26,Conversion Rate Aug 19 - Aug 26,Order Qty Rate,Quantity Sep 2 - Sep 9,Traffic Sep 2 - Sep 9,Conversion Rate Sep 2 - Sep 9,Order Qty Rate,Quantity Sep 9 - Sep 16,Traffic Sep 9 - Sep 16,Conversion Rate Sep 9 - Sep 16,Order Qty Rate,Quantity Sep 16 - Sep 23,Traffic Sep 16 - Sep 23,Conversion Rate Sep 16 - Sep 23,Order Qty Rate,Quantity Sep 23 - Oct 2,Traffic Sep 23 - Oct 2,Conversion Rate Sep 23 - Oct 2,Order Qty Rate,Quantity Oct 2 - Oct 9,Traffic Sep 23 - Oct 2 - Oct 9,Conversion Rate Sep 23 - Oct 2 - Oct 9,Order Qty Rate,Keywords Provided to Amazon
278137,,278137,B06Y19RDPC,https://www.amazon.com/dp/B06Y19RDPC,NOVICA Artisan Handmade Palm Leaf Clutch Handbag Ivory from Java Natural Fiber Evening Indonesia Woven 'Trance in Ivory',Bali and Java,No ASIN,No ASIN,,Handbags,Handbags,Handbags>Handbags,,A+,$31.49,52,57,3.5,2,50,21,0,0,51,19,0,0,51,10,0,0,50,21,4.76,1,50,49,0,0,50,0,0,0,
434993,,434993,B0CDCKW34K,https://www.amazon.com/dp/B0CDCKW34K,NOVICA Handmade Felsite Stone Decorative Accent Rose for Wall Table Beige Armenia Accessories Home Accents Floral 'Armenian Rose',Armenia,No ASIN,No ASIN,,Decor Accessories,Home Accents,Decor Accessories>Home Accents,,A+,$109.99,2,,,,2,0,0,0,2,0,0,0,2,1,0,0,2,1,0,0,2,0,0,0,2,0,0,0,
434774,,434774,B0CDCKF21T,https://www.amazon.com/dp/B0CDCKF21T,NOVICA Handmade Wood Jewelry Box Topped by Lovely Embroidered Motif Multicolor Armenia Folk Art Geometric 'Blue Butterflies',Armenia,No ASIN,No ASIN,,Jewelry Boxes,Boxes,Jewelry Boxes>Boxes,,A+,$29.99,4,,,,4,0,0,0,4,1,0,0,4,0,0,0,4,0,0,0,4,1,0,0,4,0,0,0,
435002,,435002,B0CDCK5SRQ,https://www.amazon.com/dp/B0CDCK5SRQ,NOVICA Handmade Wool Throw Striped in Green Yellow from Armenia Pillows Throws Blankets 'Cozy Green',Armenia,No ASIN,No ASIN,Fall/ Winter,Pillows & Throws,Blankets and Throws,Pillows & Throws>Blankets and Throws,,A+,$149.99,1,,,,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
300228,,300228,B0CCNRDZY8,https://www.amazon.com/dp/B0CCNRDZY8,NOVICA       From Indonesia  'Rhythmic Vibes',Bali and Java,No ASIN,No ASIN,,Musical Instruments,Percussion,Musical Instruments>Percussion,,A+,$34.99,4,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,
311365,,311365,B0CCNSN2LD,https://www.amazon.com/dp/B0CCNSN2LD,NOVICA       From Indonesia  'Turtle Kalimba',Bali and Java,No ASIN,No ASIN,,Musical Instruments,Percussion,Musical Instruments>Percussion,,A+,$24.69,10,,,,10,0,0,0,6,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,
409874,,409874,B0CCNSJC4L,https://www.amazon.com/dp/B0CCNSJC4L,NOVICA       From Thailand  'Hammered Mantra',Thailand,No ASIN,No ASIN,,Musical Instruments,Percussion,Musical Instruments>Percussion,,A+,$80.99,1,,,,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
305998,,305998,B0CCNSG3QZ,https://www.amazon.com/dp/B0CCNSG3QZ,NOVICA       From Usa  'Chime Of Compassion',Gift Selections,No ASIN,No ASIN,,Musical Instruments,Percussion,Musical Instruments>Percussion,,A+,$74.95,71,,,,209,1,0,0,202,0,0,0,198,0,0,0,197,2,0,0,195,1,0,0,192,0,0,0,
437601,,437601,B0CDCGTHDH,https://www.amazon.com/dp/B0CDCGTHDH,NOVICA Handmade Ceramic Figurine Blue of Cat Fish Brown Uzbekistan Sculpture Animal Themed Whimsical Catfish 'Feline Mischief in Blue',Silk Road,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$53.99,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,
437602,,437602,B0CDCK9KGL,https://www.amazon.com/dp/B0CDCK9KGL,NOVICA Handmade Ceramic Figurine Green of Cat Sausages Brown Uzbekistan Sculpture Whimsical 'Feline Mischief in Green',Silk Road,No ASIN,No ASIN,,Sculpture,Sculpture,Sculpture>Sculpture,,A+,$53.99,2,,,,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,
